name,year,movie_tv_id,movie_tv_name,type,department,job,actor_id,created_at,updated_at
Thomas G. Marquez,1995,8,Four Rooms,movie,Costume & Make-Up,Costume Supervisor,1877356,2022-09-03 17:01:12,2022-09-03 17:01:12
Paul Starr,1995,8,Four Rooms,movie,Costume & Make-Up,Makeup Artist,1877357,2022-09-03 17:01:12,2022-09-03 17:01:12
Sissy Boyd,1995,8,Four Rooms,movie,Crew,Choreographer,1877359,2022-09-03 17:01:12,2022-09-03 17:01:12
Derek Hurd,1995,8,Four Rooms,movie,Crew,Craft Service,1877360,2022-09-03 17:01:12,2022-09-03 17:01:12
Ben Parker,1995,8,Four Rooms,movie,Crew,Post Production Assistant,1877361,2022-09-03 17:01:12,2022-09-03 17:01:12
Ben Parker,1995,8,Four Rooms,movie,Crew,Set Production Assistant,1877361,2022-09-03 17:01:12,2022-09-03 17:01:12
Nick Roberts,1995,8,Four Rooms,movie,Crew,Security,1877363,2022-09-03 17:01:12,2022-09-03 17:01:12
Patrice Carbaugh,1995,8,Four Rooms,movie,Crew,Set Medic,1877365,2022-09-03 17:01:12,2022-09-03 17:01:12
Michael Boyce Harris,1995,8,Four Rooms,movie,Crew,Stand In,1877369,2022-09-03 17:01:12,2022-09-03 17:01:12
Dotti Thompson,1995,8,Four Rooms,movie,Crew,Transportation Captain,1877370,2022-09-03 17:01:12,2022-09-03 17:01:12
Bob Allen,1995,8,Four Rooms,movie,Editing,First Assistant Editor,1877377,2022-09-03 17:01:12,2022-09-03 17:01:12
Marcel DeJure,1995,8,Four Rooms,movie,Lighting,Electrician,1877378,2022-09-03 17:01:12,2022-09-03 17:01:12
Chuck Smith,1995,8,Four Rooms,movie,Lighting,Gaffer,1877379,2022-09-03 17:01:12,2022-09-03 17:01:12
Deborah Hebert,1995,8,Four Rooms,movie,Production,Production Accountant,1877380,2022-09-03 17:01:12,2022-09-03 17:01:12
David Gertz,1995,8,Four Rooms,movie,Sound,Foley Mixer,1877413,2022-09-03 17:01:12,2022-09-03 17:01:12
Jan D. Tys,1995,8,Four Rooms,movie,Crew,Studio Teachers,1877415,2022-09-03 17:01:12,2022-09-03 17:01:12
Joseph W. Grafmuller,1995,8,Four Rooms,movie,Art,Swing,1895858,2022-09-03 17:01:12,2022-09-03 17:01:12
