name,character,year,movie_tv_id,movie_tv_name,type,department,order,actor_id
Tom Sylla,Massassi Outpost Announcer / Various Voices (voice) (uncredited),1977,12,Star Wars,movie,Directing,89,390158
Malcolm Tierney,Lt. Shann Childsen (uncredited),1977,12,Star Wars,movie,Acting,90,166258
Phil Tippett,Cantina Alien (uncredited),1977,12,Star Wars,movie,Visual Effects,91,7727
Burnell Tucker,Del Goren (uncredited),1977,12,Star Wars,movie,Acting,92,184980
Morgan Upton,Stormtrooper (voice) (uncredited),1977,12,Star Wars,movie,Acting,93,160947
Jerry Walter,Stormtrooper (voice) (uncredited),1977,12,Star Wars,movie,Acting,94,161301
Hal Wamsley,Jawa (uncredited),1977,12,Star Wars,movie,Acting,95,1271127
Larry Ward,Greedo (voice) (uncredited),1977,12,Star Wars,movie,Acting,96,159108
Diana Sadley Way,Thuku (uncredited),1977,12,Star Wars,movie,Acting,97,1271128
Bill Weston,Stormtrooper (uncredited),1977,12,Star Wars,movie,Acting,98,24278
Fred Wood,Cantina Patron (uncredited),1977,12,Star Wars,movie,Acting,99,1271131
Colin Higgins,"Rebel Pilot, Col. Takbright (uncredited)",1977,12,Star Wars,movie,Acting,100,301657
Ron Tarr,Jabba's Henchman (uncredited),1977,12,Star Wars,movie,Acting,101,1490615
Anthony Forrest,Sandtrooper / Fixer (uncredited),1977,12,Star Wars,movie,Acting,102,227857
Frances Alfred Basil Tomlin,BoShek (uncredited),1977,12,Star Wars,movie,Acting,103,2646226
Ronny Cush,X-Wing Pilot,1977,12,Star Wars,movie,Acting,104,2724038
Albert Brooks,Marlin (voice),2003,13,Finding Nemo,movie,Acting,0,13
Ellen DeGeneres,Dory (voice),2003,13,Finding Nemo,movie,Acting,1,14
Alexander Gould,Nemo (voice),2003,13,Finding Nemo,movie,Acting,2,12
Willem Dafoe,Gill (voice),2003,13,Finding Nemo,movie,Acting,3,5293
Brad Garrett,Bloat (voice),2003,13,Finding Nemo,movie,Acting,4,18
Allison Janney,Peach (voice),2003,13,Finding Nemo,movie,Acting,5,19
Austin Pendleton,Gurgle (voice),2003,13,Finding Nemo,movie,Acting,6,6168
Stephen Root,Bubbles (voice),2003,13,Finding Nemo,movie,Acting,7,17401
Vicki Lewis,Deb / Flo (voice),2003,13,Finding Nemo,movie,Acting,8,14723
Joe Ranft,Jacques (voice),2003,13,Finding Nemo,movie,Writing,9,7911
Geoffrey Rush,Nigel (voice),2003,13,Finding Nemo,movie,Acting,10,118
Andrew Stanton,Crush (voice),2003,13,Finding Nemo,movie,Writing,11,7
Elizabeth Perkins,Coral (voice),2003,13,Finding Nemo,movie,Acting,12,20
Nicholas Bird,Squirt (voice),2003,13,Finding Nemo,movie,Acting,13,981048
Bob Peterson,Mr. Ray (voice),2003,13,Finding Nemo,movie,Acting,14,10
Barry Humphries,Bruce (voice),2003,13,Finding Nemo,movie,Acting,15,22
Eric Bana,Anchor (voice),2003,13,Finding Nemo,movie,Acting,16,8783
Bruce Spence,Chum (voice),2003,13,Finding Nemo,movie,Acting,17,27752
Bill Hunter,Dentist (voice),2003,13,Finding Nemo,movie,Acting,18,23
LuLu Ebeling,Darla (voice),2003,13,Finding Nemo,movie,Acting,19,981049
Jordan Ranft,Tad (voice),2003,13,Finding Nemo,movie,Acting,20,1211731
Erica Beck,Pearl (voice),2003,13,Finding Nemo,movie,Acting,21,1372790
